"Haul","CL","nA","sfA","nB","sfB","qA","qB"
"D2H5",9,0,5.66723217294229,1,4.92487097597426,0.176452979070526,0.203051004763059
"D2H5",10,8,5.66723217294229,2,4.92487097597426,0.176452979070526,0.203051004763059
"D2H5",11,11,5.66723217294229,11,4.92487097597426,0.176452979070526,0.203051004763059
"D2H5",12,23,5.66723217294229,13,4.92487097597426,0.176452979070526,0.203051004763059
"D2H5",13,27,5.66723217294229,33,4.92487097597426,0.176452979070526,0.203051004763059
"D2H5",14,45,5.66723217294229,38,4.92487097597426,0.176452979070526,0.203051004763059
"D2H5",15,33,5.66723217294229,30,4.92487097597426,0.176452979070526,0.203051004763059
"D2H5",16,33,5.66723217294229,42,4.92487097597426,0.176452979070526,0.203051004763059
"D2H5",17,26,5.66723217294229,34,4.92487097597426,0.176452979070526,0.203051004763059
"D2H5",18,12,5.66723217294229,23,4.92487097597426,0.176452979070526,0.203051004763059
"D2H5",19,16,5.66723217294229,9,4.92487097597426,0.176452979070526,0.203051004763059
"D2H5",20,8,5.66723217294229,3,4.92487097597426,0.176452979070526,0.203051004763059
"D2H5",21,2,5.66723217294229,5,4.92487097597426,0.176452979070526,0.203051004763059
"D2H5",22,2,5.66723217294229,2,4.92487097597426,0.176452979070526,0.203051004763059
"D2H5",23,1,5.66723217294229,1,4.92487097597426,0.176452979070526,0.203051004763059
"D2H5",24,0,5.66723217294229,0,4.92487097597426,0.176452979070526,0.203051004763059
"D2H5",25,0,5.66723217294229,0,4.92487097597426,0.176452979070526,0.203051004763059
"D3H1",5,0,3.63998097308115,0,3.05498961334729,0.274726710770008,0.327333355122056
"D3H1",6,1,3.63998097308115,0,3.05498961334729,0.274726710770008,0.327333355122056
"D3H1",7,0,3.63998097308115,0,3.05498961334729,0.274726710770008,0.327333355122056
"D3H1",8,0,3.63998097308115,0,3.05498961334729,0.274726710770008,0.327333355122056
"D3H1",9,0,3.63998097308115,0,3.05498961334729,0.274726710770008,0.327333355122056
"D3H1",10,7,3.63998097308115,3,3.05498961334729,0.274726710770008,0.327333355122056
"D3H1",11,12,3.63998097308115,31,3.05498961334729,0.274726710770008,0.327333355122056
"D3H1",12,40,3.63998097308115,36,3.05498961334729,0.274726710770008,0.327333355122056
"D3H1",13,42,3.63998097308115,55,3.05498961334729,0.274726710770008,0.327333355122056
"D3H1",14,49,3.63998097308115,49,3.05498961334729,0.274726710770008,0.327333355122056
"D3H1",15,35,3.63998097308115,40,3.05498961334729,0.274726710770008,0.327333355122056
"D3H1",16,27,3.63998097308115,26,3.05498961334729,0.274726710770008,0.327333355122056
"D3H1",17,12,3.63998097308115,15,3.05498961334729,0.274726710770008,0.327333355122056
"D3H1",18,6,3.63998097308115,7,3.05498961334729,0.274726710770008,0.327333355122056
"D3H1",19,7,3.63998097308115,6,3.05498961334729,0.274726710770008,0.327333355122056
"D3H1",20,8,3.63998097308115,4,3.05498961334729,0.274726710770008,0.327333355122056
"D3H1",21,3,3.63998097308115,4,3.05498961334729,0.274726710770008,0.327333355122056
"D3H1",22,1,3.63998097308115,0,3.05498961334729,0.274726710770008,0.327333355122056
"D3H1",23,0,3.63998097308115,1,3.05498961334729,0.274726710770008,0.327333355122056
"D3H1",24,0,3.63998097308115,0,3.05498961334729,0.274726710770008,0.327333355122056
"D3H1",25,0,3.63998097308115,0,3.05498961334729,0.274726710770008,0.327333355122056
"D3H5",5,1,10.5341432550192,0,11.1148580582665,0.0949294096151136,0.0899696599594688
"D3H5",6,0,10.5341432550192,0,11.1148580582665,0.0949294096151136,0.0899696599594688
"D3H5",7,3,10.5341432550192,0,11.1148580582665,0.0949294096151136,0.0899696599594688
"D3H5",8,2,10.5341432550192,2,11.1148580582665,0.0949294096151136,0.0899696599594688
"D3H5",9,4,10.5341432550192,2,11.1148580582665,0.0949294096151136,0.0899696599594688
"D3H5",10,11,10.5341432550192,3,11.1148580582665,0.0949294096151136,0.0899696599594688
"D3H5",11,14,10.5341432550192,23,11.1148580582665,0.0949294096151136,0.0899696599594688
"D3H5",12,35,10.5341432550192,27,11.1148580582665,0.0949294096151136,0.0899696599594688
"D3H5",13,67,10.5341432550192,40,11.1148580582665,0.0949294096151136,0.0899696599594688
"D3H5",14,70,10.5341432550192,61,11.1148580582665,0.0949294096151136,0.0899696599594688
"D3H5",15,50,10.5341432550192,33,11.1148580582665,0.0949294096151136,0.0899696599594688
"D3H5",16,42,10.5341432550192,31,11.1148580582665,0.0949294096151136,0.0899696599594688
"D3H5",17,22,10.5341432550192,17,11.1148580582665,0.0949294096151136,0.0899696599594688
"D3H5",18,5,10.5341432550192,8,11.1148580582665,0.0949294096151136,0.0899696599594688
"D3H5",19,3,10.5341432550192,5,11.1148580582665,0.0949294096151136,0.0899696599594688
"D3H5",20,2,10.5341432550192,3,11.1148580582665,0.0949294096151136,0.0899696599594688
"D3H5",21,1,10.5341432550192,3,11.1148580582665,0.0949294096151136,0.0899696599594688
"D3H5",22,0,10.5341432550192,0,11.1148580582665,0.0949294096151136,0.0899696599594688
"D3H5",23,1,10.5341432550192,0,11.1148580582665,0.0949294096151136,0.0899696599594688
"D3H5",24,0,10.5341432550192,0,11.1148580582665,0.0949294096151136,0.0899696599594688
"D3H5",25,0,10.5341432550192,0,11.1148580582665,0.0949294096151136,0.0899696599594688
"D4H2",5,0,14.4676758207574,0,8.02170411841556,0.0691196023735381,0.124661790716549
"D4H2",6,1,14.4676758207574,0,8.02170411841556,0.0691196023735381,0.124661790716549
"D4H2",7,0,14.4676758207574,0,8.02170411841556,0.0691196023735381,0.124661790716549
